Incubation starting on 2023-02-08,,,,,,,
Digital Incubator,,,,,,,
location:  Nathan's House,Nathan's House,,,,,,
,varible 1,variable 2,variable 3,,mass on ,mass on ,
,,,(day),,(grams),,
egg number,size,color,day laid?,age on 8/8,8/8/2023,1/29/2023,etc
1,,,8,0,61,,
2,,,8,0,56,,
3,,,7,1,54,,
4,,,7,1,52,,
5,,,7,1,64,,
6,,,7,1,57,,
7,,,7,1,59,,
8,,,6,2,55,,
9,,,5,3,60,,
10,,,5,3,56,,
11,,,5,3,52,,
12,,,5,3,57,,
13,,,4,4,49,,
14,,,4,4,63,,
15,,,3,5,56,,
16,,,2,6,61,,
17,,,3,5,58,,
18,,,2,6,54,,
19,,,2,6,56,,
20,,,1,7,59,,
21,,,2,6,58,,
22,,,31,8,58,,
23,,,1,7,64,,
24,,,26,13,48,,
25,,,27,12,54,,
26,,,26,13,54,,
27,,,26,13,59,,
28,,,26,13,58,,
29,,,25,14,57,,
30,,,24,15,58,,
31,,,25,14,50,,
32,,,24,15,56,,
33,,,24,15,56,,
34,,,24,15,45,,
35,,,31,8,51,,
36,,,27,12,56,,
37,,,28,11,53,,
38,,,28,11,56,,
39,,,29,10,59,,
40,,,28,11,51,,
41,,,29,10,57,,
42,,,30,9,58,,
43,,,30,9,58,,
44,,,31,8,52,,
